You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, fantasy bengali riverbank village with glowing water and clay ground, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, fantasy egyptian underworld gate courtyard with glowing symbols, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, nile delta battlefield with flat mud ground and reeds, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, ethiopian sacred stone circle with magical aura, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, swahili coastal courtyard with coral textures, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, middle eastern arcane desert circle with glowing runes, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, arabian sandstorm battlefield with smooth sand, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, persian mystical garden with glowing plants, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, indian palace terrace battlefield with marble tiles, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, rajput desert fort rooftop with sandstone floor, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, south asian magical banyan tree clearing with roots pushed back, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, himalayan wind carved plateau with snow ground, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, tibetan prayer wheel courtyard with stone floor, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, nepalese cliffside temple platform with clouds, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, sri lankan jungle clearing with glowing vines, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, thai floating temple platform with water glow, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, balinese forest shrine clearing with moss, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, indonesian volcanic plateau with hardened lava, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, cambodian temple courtyard with carved stones, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, vietnamese riverside platform with soft mud ground, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, malaysian rainforest battlefield with glowing mist, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, burmese temple garden with stone paths, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, filipino coastal battlefield with sand and shells, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, african tribal sacred ground with patterned soil, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, nubian desert temple ruins with glowing carvings, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, ethiopian mountain shrine with stone textures, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, saharan dune battlefield with smooth sand, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, tuareg caravan battlefield with minimal props, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, moroccan palace garden courtyard with tile floor, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, west african forest clearing with magical light, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, congo riverbank battlefield with firm soil, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, maasai savanna battlefield with golden grass, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
You are an assistant designed to generate anime images based on textual prompts. <Prompt Start> battle background, no character, empty environment, anime painterly style with soft cel shading, hand painted textures, zulu village courtyard with earthy tones, side view 2D game battlefield, strict orthographic projection, flat camera, flat horizontal ground in foreground for combat, clear open battle platform across entire width, unobstructed front area, clean flat surface, midground environment details, background depth scenery, clean horizon line, clean readable shapes, minimal clutter, soft ambient lighting, seamless horizontal tiling, best quality, high detail
